Date,Price
16-09-2023,26568.28125
17-09-2023,26534.1875
18-09-2023,26754.28125
19-09-2023,27211.11719
20-09-2023,27132.00781
21-09-2023,26567.63281
22-09-2023,26579.56836
23-09-2023,26579.39063
24-09-2023,26256.82617
25-09-2023,26298.48047
26-09-2023,26217.25
27-09-2023,26352.7168
28-09-2023,27021.54688
29-09-2023,26911.7207
30-09-2023,26967.91602
01-10-2023,27983.75
02-10-2023,27530.78516
03-10-2023,27429.97852
04-10-2023,27799.39453
05-10-2023,27415.91211
06-10-2023,27946.59766
07-10-2023,27968.83984
08-10-2023,27935.08984
09-10-2023,27583.67773
10-10-2023,27391.01953
11-10-2023,26873.32031
12-10-2023,26756.79883
13-10-2023,26862.375
14-10-2023,26861.70703
15-10-2023,27159.65234
16-10-2023,28519.4668
17-10-2023,28415.74805
18-10-2023,28328.3418
19-10-2023,28719.80664
20-10-2023,29682.94922
21-10-2023,29918.41211
22-10-2023,29993.89648
23-10-2023,33086.23438
24-10-2023,33901.52734
25-10-2023,34502.82031
26-10-2023,34156.64844
27-10-2023,33909.80078
28-10-2023,34089.57422
29-10-2023,34538.48047
30-10-2023,34502.36328
31-10-2023,34667.78125
01-11-2023,35437.25391
02-11-2023,34938.24219
03-11-2023,34732.32422
04-11-2023,35082.19531
06-11-2023,35141.66797
